,Vehicle,wikipedia_name,wikipedia_url,mission_type,mission_duration,orbits_completed,spacecraft,launch_mass,landing_mass,launch_rocket,launch_site,landing_date,landing_site,orbit_epoch,orbit_reference,orbit_regime,orbit_periapsis,orbit_apoapsis,orbit_inclination,orbit_period,apsis,crew_size,crew_members
24,STS-51 ,STS-51-A,https://en.wikipedia.org/wiki/STS-51-A," Satellite deployment <br> Satellite retrieval
"," 7 days, 23 hours, 44 minutes, 56 seconds
"," 127
"," {{OV|103}}
"," {{convert|263324|lbs|kg|disp=flip}}
"," {{convert|207505|lbs|kg|disp=flip}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|November 16, 1984, 11:59:56|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway 15]]

"," November 10, 1984<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref>
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|179|nmi|km|disp=flip|sp=us}}
"," {{convert|191|nmi|km|disp=flip|sp=us}}
"," 28.4 degrees

"," 90.4 minutes
"," gee
"," 5
"," [[Frederick Hauck]]<br />[[David M. Walker (astronaut)|David M. Walker]]<br />[[Joseph P. Allen]]<br />[[Anna Lee Fisher]]<br />[[Dale Gardner]]
"
25,STS-61,STS-61,https://en.wikipedia.org/wiki/STS-61," Hubble servicing
"," 10&nbsp;days, 19&nbsp;hours, 58&nbsp;minutes, 37&nbsp;seconds
"," 163
"," {{OV|105}}
"," 
"," {{convert|94972|kg|lb|abbr=on}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|13 December 1993, 05:25:33|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;33]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|291|km}}
"," {{convert|576|km}}
"," 28.45 degrees

"," 93.3 min
"," gee
"," 7
"," [[Richard O. Covey]]<br/>[[Kenneth D. Bowersox]]<br/>[[Kathryn C. Thornton]]<br/>[[Claude Nicollier]]<br/>[[Jeffrey A. Hoffman]]<br/>[[F. Story Musgrave]]<br/>[[Thomas D. Akers]]
"
26,STS-64 ,STS-64,https://en.wikipedia.org/wiki/STS-64," Research<br/>Technology
"," 10&nbsp;days, 22&nbsp;hours, 49&nbsp;minutes, 57&nbsp;seconds
"," 176
"," {{OV|103}}
"," 
"," 
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|20 September 1994, 21:12:52|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway&nbsp;4

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|259|km}}
"," {{convert|269|km}}
"," 56.9 degrees

"," 89.5 min
"," gee
"," 6
"," [[Richard N. Richards]]<br/>[[L. Blaine Hammond, Jr.]]<br/>[[Jerry M. Linenger]]<br/>[[Susan Helms|Susan J. Helms]]<br/>[[Carl J. Meade]]<br/>[[Mark C. Lee]]
"
27,STS-63,STS-63,https://en.wikipedia.org/wiki/STS-63," Research<br/>[[Mir]] rendezvous
"," 8&nbsp;days, 6&nbsp;hours, 28&nbsp;minutes, 15&nbsp;seconds
"," 129
"," {{OV|103}}
"," 
"," 
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|11 February 1995, 11:50:19|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|275|km}}
"," {{convert|342|km}}
"," 51.6 degrees

"," 92.3 minutes
"," gee
"," 6
"," [[James D. Wetherbee]]<br/>[[Eileen Collins]]<br/>[[Bernard A. Harris, Jr.]]<br/>[[Michael Foale]]<br/>[[Janice E. Voss]]<br/>[[Vladimir G. Titov]]
"
28,STS-69,STS-69,https://en.wikipedia.org/wiki/STS-69," Research
"," 10&nbsp;days, 20&nbsp;hours, 29&nbsp;minutes, 56&nbsp;seconds
"," 171
"," {{OV|105}}
"," 
"," 
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|18 September 1995, 11:38:56|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;33]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|321|km}}
"," {{convert|321|km}}
"," 28.4 degrees

"," 91.4 min
"," gee
"," 5
"," [[David M. Walker (astronaut)|David M. Walker]]<br/>[[Kenneth Cockrell]]<br/>[[James S. Voss]]<br/>[[James H. Newman]]<br/>[[Michael L. Gernhardt]]
"
29,STS-72,STS-72,https://en.wikipedia.org/wiki/STS-72," Satellite retrieval<br/>Research
"," 8&nbsp;days, 22&nbsp;hours, 01&nbsp;minutes, 47&nbsp;seconds
"," 142
"," {{OV|105}}
"," {{convert|112182|kg}}
"," {{convert|98549|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|20 January 1996, 07:41:41|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|185|km}}
"," {{convert|470|km}}
"," 28.45 degrees

"," 91.1 min
"," gee
"," 6
"," [[Brian Duffy (astronaut)|Brian Duffy]]<br/>[[Brent W. Jett]]<br/>[[Leroy Chiao]]<br/>[[Winston E. Scott]]<br/>[[Koichi Wakata]]<br/>[[Daniel T. Barry]]
"
30,STS-76,STS-76,https://en.wikipedia.org/wiki/STS-76," [[Shuttle-Mir program|Shuttle-Mir]]
"," 9&nbsp;days, 5&nbsp;hours, 16&nbsp;minutes, 48&nbsp;seconds
"," 145
"," {{OV|104}}
"," {{convert|111740|kg}}
"," {{convert|95396|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|31 March 1996, 13:28:57|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway&nbsp;22

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|389|km}}
"," {{convert|411|km}}
"," 51.6 degrees

"," 92.5 min
"," gee
"," 6 up<br/>5 down
"," [[Kevin P. Chilton]]<br/>[[Richard A. Searfoss]]<br/>[[Ronald M. Sega]]<br/>[[Michael R. Clifford]]<br/>[[Linda M. Godwin]]
"
31,STS-80,STS-80,https://en.wikipedia.org/wiki/STS-80," Research
"," 17 days, 15 hours, 53 minutes, 18 seconds
"," 279
"," {{OV|102}}
"," 
"," 
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|7 December 1996, 11:49:05|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF (Rwy 33)]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|318|km}}
"," {{convert|375|km}}
"," 28.45 degrees

"," 91.5 min
"," gee
"," 5
"," [[Kenneth D. Cockrell]]<br/>[[Kent Rominger]]<br/>[[Story Musgrave]]<br/>[[Thomas David Jones]]<br/>[[Tamara E. Jernigan]]
"
32,STS-82,STS-82,https://en.wikipedia.org/wiki/STS-82," [[Hubble Space Telescope|Hubble]] servicing
"," 9 days, 23 hours, 38 minutes, 09 seconds
"," 149
"," {{OV|103}}
"," 
"," 
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|21 February 1997, 08:32|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|475|km}}
"," {{convert|574|km}}
"," 28.4698 degrees

"," 95.2 min
"," gee
"," 7
"," [[Kenneth D. Bowersox]]<br/>[[Scott J. Horowitz]]<br/>[[Joseph R. Tanner]]<br/>[[Steven A. Hawley]]<br/>[[Gregory J. Harbaugh]]<br/>[[Mark C. Lee]]<br/>[[Steven L. Smith]]
"
33,STS-86,STS-86,https://en.wikipedia.org/wiki/STS-86," [[Shuttle-Mir program|Shuttle-Mir]]
"," 10 days, 19 hours, 22 minutes, 12 seconds
"," 170
"," {{OV|104}}
"," 
"," {{convert|114185|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|6 October 1997, 21:55|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|354|km}}
"," {{convert|381|km}}
"," 51.6 degrees

"," 91.9 min
"," gee
"," 7
"," [[James D. Wetherbee]]<br/>[[Michael J. Bloomfield]]<br/>[[Vladimir G. Titov]]<br/>[[Scott E. Parazynski]]<br/>[[Jean-Loup Chrétien]]<br/>[[Wendy B. Lawrence]]
"
34,STS-87,STS-87,https://en.wikipedia.org/wiki/STS-87," Microgravity research<br/>Technology development
"," 15 days, 16 hours, 35 minutes, 01 seconds
"," 
"," {{OV|102}}
"," 
"," {{convert|102717|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|5 December 1997, 12:20|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;33]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|273|km}}
"," {{convert|279|km}}
"," 28.45 degrees

"," 90.0 min
"," gee
"," 6
"," [[Kevin R. Kregel]]<br/>[[Steven W. Lindsey]]<br/>[[Winston E. Scott]]<br/>[[Kalpana Chawla]]<br/>[[Takao Doi]]<br/>[[Leonid Kadeniuk|Leonid Kadenyuk]]
"
35,STS-88,STS-88,https://en.wikipedia.org/wiki/STS-88," [[International Space Station|ISS]] assembly
"," 11 days, 19 hours, 18 minutes, 47 seconds.
"," 185
"," {{OV|105}}
"," {{convert|263927|lbs|kg|disp=flip}}
"," {{convert|200296|lbs|kg|disp=flip}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|16 December 1998, 03:53|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|241|mi|km|disp=flip}}
"," {{convert|249|mi|km|disp=flip}}
"," 51.6 degrees

"," 92.4 minutes
"," gee
"," 6
"," [[Robert D. Cabana]]<br/>[[Frederick W. Sturckow]]<br/>[[Jerry L. Ross]]<br/>[[Nancy J. Currie]]<br/>[[James H. Newman]]<br/>[[Sergei K. Krikalev]]
"
36,STS-96,STS-96,https://en.wikipedia.org/wiki/STS-96," [[International Space Station|ISS]] assembly<br/>ISS logistics
"," 9 days, 19 hours, 13 minutes, 57 seconds
"," 
"," {{OV|103}}
"," {{convert|262035|lbs|kg|disp=flip}}
"," {{convert|220980|lbs|kg|disp=flip}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|6 June 1999, 02:02:43|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|326|km}}
"," {{convert|340|km}}
"," 51.6 degrees

"," 91.2 min
"," gee
"," 7
"," [[Kent V. Rominger]]<br/>[[Rick Husband|Rick D. Husband]]<br/>[[Daniel T. Barry]]<br/>[[Ellen Ochoa]]<br/>[[Tamara E. Jernigan]]<br/>[[Julie Payette]]<br/>[[Valery Tokarev|Valery I. Tokarev]]
"
37,STS-103,STS-103,https://en.wikipedia.org/wiki/STS-103," [[Hubble Space Telescope|HST]] servicing
"," 7 days, 23 hours, 11 minutes 34 seconds
",NaN," {{OV|103}}
"," {{convert|112493|kg}}
"," {{convert|95768|kg}}

",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|28 December 1999 00:01:34|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Faciltiy|SLF Runway&nbsp;33]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|563|km}}
"," {{convert|609|km}}
"," 28.45 degrees

"," 96.4 minutes
"," gee
"," 7
"," [[Curtis Brown|Curtis L. Brown, Jr.]]<br/>[[Scott Kelly (astronaut)|Scott J. Kelly]]<br/>[[John M. Grunsfeld]]<br/>[[Jean-François Clervoy]]<br/>[[Michael Foale|C. Michael Foale]]<br/>[[Steven Smith (astronaut)|Steven L. Smith]]<br/>[[Claude Nicollier]]
"
38,STS-101,STS-101,https://en.wikipedia.org/wiki/STS-101," ISS assembly/logistics
"," 9&nbsp;days, 21&nbsp;hours, 10&nbsp;minutes, 10&nbsp;seconds
"," 155
"," {{OV|104}}
",NaN," {{convert|100369|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|29 May 2000, 06:20|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 21 May 2000
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|319|km}}<ref name=""JSR-SC""/>
"," {{convert|332|km}}<ref name=""JSR-SC"">{{cite web|url=http://planet4589.org/space/log/satcat.txt|title=Satellite Catalog|first=Jonathan|last=McDowell|work=Jonathan's Space Page|accessdate=6 May 2013}}</ref>
"," 51.5&nbsp;degrees<ref name=""JSR-SC""/>

"," 91.04&nbsp;minutes<ref name=""JSR-SC""/>
"," gee
"," 7
"," [[James D. Halsell, Jr.]]<br/>[[Scott J. Horowitz]]<br/>[[Mary E. Weber]]<br/>[[Jeffrey N. Williams]]<br/>[[James S. Voss]]<br/>[[Susan Helms|Susan J. Helms]]<br/>[[Yury V. Usachev]]
"
39,STS-106,STS-106,https://en.wikipedia.org/wiki/STS-106," ISS assembly
"," 11&nbsp;days, 19&nbsp;hours, 12&nbsp;minutes, 15&nbsp;seconds
"," 185
"," {{OV|104}}
"," {{convert|115259|kg}}
"," {{convert|100369|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|19 September 2000, 07:56|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|375|km}}
"," {{convert|386|km}}
"," 51.6 degrees

"," 92.2 minutes
"," gee
"," 7
"," [[Terrence W. Wilcutt]]<br>[[Scott D. Altman]]<br>[[Edward T. Lu]]<br>[[Richard A. Mastracchio]]<br>[[Daniel C. Burbank]]<br>[[Yuri Malenchenko]]<br>[[Boris Morukov]]
"
40,STS-92,STS-92,https://en.wikipedia.org/wiki/STS-92," ISS assembly
"," 12 days, 21 hours, 43 minutes, 47 seconds
"," 
"," {{OV|103}}
"," {{convert|115127|kg}}
"," {{convert|92741|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|24 October 2000, 20:59:47|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]], Runway&nbsp;22

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|386|km}}
"," {{convert|394|km}}
"," 51.60 degrees

"," 92.3 min
"," gee
"," 7
"," [[Brian Duffy (astronaut)|Brian Duffy]]<br/>[[Pamela A. Melroy]]<br/>[[Koichi Wakata]]<br/>[[William S. McArthur]]<br/>[[Peter J.K. Wisoff]]<br/>[[Michael López-Alegría|Michael E. López-Alegría]]<br/>[[Leroy Chiao]]
"
41,STS-97,STS-97,https://en.wikipedia.org/wiki/STS-97," ISS assembly
"," 10 days, 19 hours, 58 minutes, 20 seconds
"," 
"," {{OV|105}}
"," {{convert|120742|kg}}
"," {{convert|89758|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|11 December 2000, 23:04|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|352|km}}
"," {{convert|365|km}}
"," 51.6 degrees

"," 91.7 min
"," gee
"," 5
"," [[Brent W. Jett]]<br/>[[Michael J. Bloomfield]]<br/>[[Joseph R. Tanner]]<br/>[[Marc Garneau]]<br/>[[Carlos I. Noriega]]
"
42,STS-98,STS-98,https://en.wikipedia.org/wiki/STS-98," ISS assembly
"," 12 days, 21 hours, 21 minutes, 0 seconds
"," 171
"," {{OV|104}}
"," {{convert|115529|kg|lbs}}
"," {{convert|90225|kg|lbs}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|20 February 2001, 20:33|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway&nbsp;22

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|365|km|nmi|sp=us}}
"," {{convert|378|km|nmi|sp=us}}
"," 51.6 degrees

"," 92 minutes
"," gee
"," 5
"," [[Kenneth D. Cockrell]]<br/>[[Mark L. Polansky]]<br/>[[Robert L. Curbeam]]<br/>[[Marsha Ivins|Marsha S. Ivins]]<br/>[[Thomas D. Jones]]
"
43,STS-102,STS-102,https://en.wikipedia.org/wiki/STS-102," {{nowrap|ISS crew rotation}}
"," 12&nbsp;days, 19&nbsp;hours, 51&nbsp;minutes, 57&nbsp;seconds
",NaN," {{OV|103}}
"," {{convert|99503|kg}}
"," {{convert|90043|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|21 March 2001, 07:33:06|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|370|km}}
"," {{convert|381|km}}
"," 51.5 degrees

"," 92.1 minutes
"," gee
"," 7
"," [[James D. Wetherbee]]<br/>[[James M. Kelly (astronaut)|James M. Kelly]]<br/>[[Andrew S. W. Thomas]]<br/>[[Paul W. Richards]]
"
44,STS-100,STS-100,https://en.wikipedia.org/wiki/STS-100," ISS assembly/logistics
"," 11&nbsp;days, 21&nbsp;hours, 31&nbsp;minutes, 14&nbsp;seconds
",NaN," {{OV|105}}

"," {{convert|103506|kg}}
"," {{convert|99742|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|1 May 2001, 16:11:56|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway 22<ref>{{cite web|url=http://www.astronautix.com/flights/sts100.htm|first=Mark|last=Wade|accessdate=6 May 2013|title=STS-100|work=Encyclopedia Astronautica}}</ref>

"," 21 April 2001
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|331|km}}<ref name=""JSR-SC""/>
"," {{convert|375|km}}<ref name=""JSR-SC"">{{cite web|url=http://planet4589.org/space/log/satcat.txt|title=Satellite Catalog|first=Jonathan|last=McDowell|work=Jonathan's Space Page|accessdate=6 May 2013}}</ref>
"," 51.5 deg<ref name=""JSR-SC""/>

"," 91.59 minutes<ref name=""JSR-SC""/>
"," gee
"," 7 
","[[Kent V. Rominger]]<br/>[[Jeffrey S. Ashby]]<br/>[[Chris Hadfield]]<br/>[[John L. Phillips]]<br/>[[Scott E. Parazynski]]<br/>[[Umberto Guidoni]]<br/>[[Yuri Lonchakov]]
"
45,STS-104,STS-104,https://en.wikipedia.org/wiki/STS-104," ISS assembly
"," 12&nbsp;days, 18&nbsp;hours, 36&nbsp;minutes, 39&nbsp;seconds
"," 200
"," {{OV|104}}
"," {{convert|117129|kg}}
"," {{convert|94009|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|25 July 2001, 03:38|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|372|km}}
"," {{convert|390|km}}
"," 51.6 degrees

"," 92.2 minutes
"," gee
"," 5
"," [[Steven W. Lindsey]]<br/>[[Charles O. Hobaugh]]<br/>[[Michael L. Gernhardt]]<br/>[[Janet L. Kavandi]]<br/>[[James F. Reilly]]
"
46,STS-105,STS-105,https://en.wikipedia.org/wiki/STS-105," ISS crew rotation
"," 11&nbsp;days, 21&nbsp;hours, 13&nbsp;minutes, 52&nbsp;seconds
"," 
"," {{OV|103}}
"," {{convert|116914|kg}} 
"," {{convert|100824|kg}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|22 August 2001, 18:23|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|373|km}}
"," {{convert|402|km}}
"," 51.6 degrees

"," 92.3 minutes
"," gee
"," 7
"," [[Scott J. Horowitz]]<br/>[[Frederick W. Sturckow]]<br/>[[Patrick G. Forrester]]<br/>[[Daniel T. Barry]] 
"
47,STS-108,STS-108,https://en.wikipedia.org/wiki/STS-108," ISS crew rotation
"," 11&nbsp;days, 19&nbsp;hours, 36&nbsp;minutes, 45&nbsp;seconds
",NaN," {{OV|105}}
"," 
"," 
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|17 December 2001 17:56:13|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|353|km}}
"," {{convert|377|km}}
"," 51.6 degrees
"," 92 minutes
"," gee
"," 7
"," [[Dominic L. Pudwill Gorie]]<br/>[[Mark Kelly (astronaut)|Mark E. Kelly]]<br/>[[Linda M. Godwin]]<br/>[[Daniel M. Tani]]
"
48,Expedition 4,Expedition_4,https://en.wikipedia.org/wiki/Expedition_4," ISS Expedition
"," 190&nbsp;days, 5&nbsp;hours, 31&nbsp;minutes (at ISS)<br/><small>195&nbsp;days, 11&nbsp;hours, 38&nbsp;minutes, 13&nbsp;seconds (launch to landing)</small>
"," 3,068

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 3
"," [[Yury Onufrienko]]<br/>[[Daniel W. Bursch]]<br/>[[Carl E. Walz]]
"
49,STS-109,STS-109,https://en.wikipedia.org/wiki/STS-109," Hubble servicing
"," 10&nbsp;days, 22&nbsp;hours, 11&nbsp;minutes, 09&nbsp;seconds
"," 165
"," {{OV|102}}
"," {{convert|116989|kg|lb|abbr=on}}
"," {{convert|100564|kg|lb|abbr=on}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|12 March 2002 09:33:10|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;33]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|486|km|mi|abbr=on}}
"," {{convert|578|km|mi|abbr=on}}
"," 28.5 degrees

"," 95.3 minutes
"," gee
"," 7
"," [[Scott D. Altman]]<br/>[[Duane G. Carey]]<br/>[[John M. Grunsfeld]]<br/>[[Nancy J. Currie]]<br/>[[Richard M. Linnehan]]<br/>[[James H. Newman]]<br/>[[Michael J. Massimino]]
"
50,STS-110,STS-110,https://en.wikipedia.org/wiki/STS-110," ISS assembly
"," 10&nbsp;days, 19&nbsp;hours, 43&nbsp;minutes, 38&nbsp;seconds
"," 171
"," {{OV|104}}
"," {{convert|257079|lb|kg|order=flip}}<ref name=STS-110-Press-Kit>[https://web.archive.org/web/20051030030928/http://www.shuttlepresskit.com/STS-110/spk-110.pdf] ""STS-110 Press Kit"" (archived from Shuttlepresskit.com)</ref>
"," {{convert|200657|lb|kg|order=flip}}<ref name=STS-110-Press-Kit />
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]
"," {{end-date|19 April 2002 16:26:57|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;33]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|155|km}}
"," {{convert|225|km}}
"," 51.6 degrees

"," 88.3 minutes
"," gee
"," 7
"," [[Michael J. Bloomfield]]<br/>[[Stephen Frick|Stephen N. Frick]]<br/>[[Rex J. Walheim]]<br/>[[Ellen Ochoa|Ellen L. Ochoa]]<br/>[[Lee Morin|Lee M. E. Morin]]<br/>[[Jerry L. Ross]]<br/>[[Steven Smith (astronaut)|Steven L. Smith]]
"
